Buenos bueno AQ0MP0 0.711772
mayor mayor AQ0CS0 0.997925
y y CC 0.999962
me me PP1CS000 0.89124
molesta molestar VMIP3S0 0.411549
mas mas CC 0.699537
nose nose NCFS000 0.31746
. . Fp 1
. . Fp 1
a a SPS00 0.996023
parte parte NCFS000 0.499183
de de SPS00 0.999984
eso ese PD0NS000 1
estoy estar VAIP1S0 1
muy muy RG 1
conenta conenta VMIP3S0 0.494914
nunca nunca RG 1
me me PP1CS000 0.89124
ha haber VAIP3S0 0.999255
dado dar VMP00SM 0.994186
problemas problema NCMP000 1
y y CC 0.999962
siempre siempre RG 1
ha haber VAIP3S0 0.999255
funcionado funcionar VMP00SM 1
correctamente correctamente RG 1
, , Fc 1
alguna alguno DI0FS0 0.903727
vez vez NCFS000 1
se se P00CN000 0.465639
ha haber VAIP3S0 0.999255
atascado atascar VMP00SM 1
el el DA0MS0 1
filtro filtro NCMS000 0.96098
, , Fc 1
pero pero CC 0.999764
es ser VSIP3S0 1
tan tan RG 1
sencillo sencillo AQ0MS0 0.983871
como como CS 0.999289
abrir abrir VMN0000 1
la el DA0FS0 0.972269
tapita tapa NCFS00D 1
de de SPS00 0.999984
abajo abajo RG 0.986111
, , Fc 1
sacar sacar VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
limpiar limpiar VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
y y CC 0.999962
listo listo AQ0MS0 0.537563
, , Fc 1
vuelve volver VMIP3S0 0.987805
a a SPS00 0.996023
funcionar funcionar VMN0000 1
perfectamente perfectamente RG 0.983871
. . Fp 1

Ojala ojalar VMIP3S0 0.994868
mi mi DP1CSS 0.999101
siguiente siguiente AQ0CS0 1
lavadora lavadora NCFS000 0.414738
me me PP1CS000 0.89124
dure durar VMSP3S0 0.61894
tanto tanto RG 0.862252
y y CC 0.999962
me me PP1CS000 0.89124
de de SPS00 0.999984
tan tan RG 1
pocos poco DI0MP0 0.587209
problemas problema NCMP000 1
como como CS 0.999289
esta este PD0FS000 0.0132212
. . Fp 1

