Despues despues NP00000 1
A a SPS00 0.996023
Eficiencia eficiencia NP00000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
: : Fd 1
A a SPS00 0.996023
Eficiencia eficiencia NP00000 1
centrifugado centrifugar VMP00SM 0.691748
: : Fd 1
B_Consumo b_consumo NP00000 1
de de SPS00 0.999984
energía energía NCFS000 1
: : Fd 1
1.02 1.02 Z 1
kw kw NCFS000 0.15945
/ / Fh 1
h h NCFS000 0.5
Consumo consumo NP00000 1
de de SPS00 0.999984
agua agua NCCS000 0.99177
: : Fd 1
49.0 49.0 Z 1
L_Alto l_alto NP00000 1
con con SPS00 1
tapa tapa NCFS000 0.846937
: : Fd 1
85.0 85.0 Z 1
cm centímetro NCMN000 1
Ancho ancho NP00000 1
: : Fd 1
60 60 Z 1
cm centímetro NCMN000 1
Fondo fondo NP00000 1
: : Fd 1
59 59 Z 1
cm centímetro NCMN000 1
Control control NP00000 1
electrónico electrónico AQ0MS0 1
en en SPS00 1
todos todo DI0MP0 0.624221
los el DA0MP0 0.976481
procesos proceso NCMP000 1
: : Fd 1
Si si CS 0.99954
Lavado lavado NP00000 1
rápido rápido AQ0MS0 0.980769
30 30 Z 1
min minuto NCMN000 1
. . Fp 1
: : Fd 1
Si si CS 0.99954
Esta esta NP00000 1
lavadora lavadora NCFS000 0.414738
está estar VAIP3S0 0.999201
recomendada recomendar VMP00SF 0.553336
para para SPS00 0.999103
casas casa NCFP000 0.991071
con con SPS00 1
familia familia NCFS000 1
numerosa numeroso AQ0FS0 1
que que PR0CN000 0.562517
laven lavar VMSP3P0 0.885893
mucho mucho RG 0.702081
y y CC 0.999962
quieran querer VMM03P0 0.114107
un uno DI0MS0 0.987295
buen bueno AQ0MS0 1
rendimiento rendimiento NCMS000 1
, , Fc 1
tambien tambien RG 0.911112
para para SPS00 0.999103
las el DA0FP0 0.970954
no no NCMS000 0.00186633
numerosas numeroso AQ0FP0 1
pero pero CC 0.999764
que que PR0CN000 0.562517
no no RN 0.998134
se se P00CN000 0.465639
conforman conformar VMIP3P0 1
con con SPS00 1
poco poco PI0MS000 0.333333
y y CC 0.999962
que que PR0CN000 0.562517
prefieren preferir VMIP3P0 1
gastar gastar VMN0000 1
se se PP3CN000 1
algo algo PI0CS000 0.900246
mas mas CC 0.699537
de de SPS00 0.999984
dinero dinero NCMS000 1
pero pero CC 0.999764
que que CS 0.437483
a a SPS00 0.996023
la el DA0FS0 0.972269
larga larga NCFS000 0.244902
le le PP3CSD00 1
salga salir VMSP1S0 0.427083
mas mas CC 0.699537
rentable rentable AQ0CS0 1
. . Fp 1

