po po NCMS000 0.964836
es ser VSIP3S0 1
otro otro PI0MS000 0.387006
de de SPS00 0.999984
los el DA0MP0 0.976481
programas programa NCMP000 0.97619
, , Fc 1
decir decir VMN0000 1
os os PP2CP000 1
tambien tambien RG 0.911112
que que CS 0.437483
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
es ser VSIP3S0 1
resistente resistente AQ0CS0 0.65727
y y CC 0.999962
no no RN 0.998134
hace hacer VMIP3S0 1
ruido ruido NCMS000 1
, , Fc 1
que que CS 0.437483
le le PP3CSD00 1
puedes poder VMIP2S0 1
poner poner VMN0000 1
tanto tanto RG 0.862252
un uno DI0MS0 0.987295
mogollon mogollon NCMN000 1
de de SPS00 0.999984
ropa ropa NCFS000 1
como como CS 0.999289
poner poner VMN0000 1
le le PP3CSD00 1
poca poco DI0FS0 0.97619
. . Fp 1

bueno bueno I 0.548077
... ... Fs 1
salud salud NCFS000 1
a a SPS00 0.996023
todos todo DI0MP0 0.624221

