Estimados estimar VMP00PM 1
dentro_de dentro_de SPS00 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
un uno DI0MS0 0.987295
día día NCMS000 1
entero entero AQ0MS0 0.962264
........... ........... Fz 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
cómo cómo PT000000 0.993927
sale salir VMIP3S0 0.814516
luego_de luego_de SPS00 1
arrugada arrugar VMP00SF 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
...... ...... Fz 1
3 3 Z 1
. . Fp 1

Consume consumir VMIP3S0 0.878846
a_razón_de a_razón_de SPS00 1
la el DA0FS0 0.972269
carga carga NCFS000 0.952569
, , Fc 1
bueno bueno AQ0MS0 0.451923
para para SPS00 0.999103
mí mí PP1CSO00 1
, , Fc 1
que que PR0CN000 0.562517
vivo vivir VMIP1S0 0.106796
solo solo AQ0MS0 0.948498
, , Fc 1
y y CC 0.999962
tiene tener VMIP3S0 1
la el DA0FS0 0.972269
mayor mayor AQ0CS0 0.997925
clasificación clasificación NCFS000 1
energética energético AQ0FS0 0.482321
A a NP00000 1
+ + Fz 1
+ + Fz 1
+ + Fz 1
4 4 Z 1
. . Fp 1

Tiene tener VMIP3S0 1
funciones función NCFP000 0.980769
para para SPS00 0.999103
el el DA0MS0 1
aclarado aclarado NCMS000 0.362779
extra extra AQ0CS0 0.357298
( ( Fpa 1
ideal ideal NCMS000 0.5
cuando cuando CS 0.985595
le le PP3CSD00 1
echo echar VMIP1S0 1
más más RG 1
detergente detergente AQ0CS0 0.50727
de de SPS00 0.999984
lo el DA0NS0 0.457533
normal normal AQ0CS0 0.986111
ja ja I 1
ja ja I 1
ja ja I 1
) ) Fpt 1
, , Fc 1
control control NCMS000 1
de de SPS00 1
el el DA0MS0 1
centrífugado centrífugado VMP00SM 1
y y CC 0.999962
antiarrugas antiarruga AQ0CP0 1
. . Fp 1

5.La 5.La Z 1
puedo poder VMIP1S0 1
parar parar VMN0000 1
cuando cuando CS 0.985595
quiera querer VMSP1S0 0.424658
y y CC 0.999962
. . Fp 1
además además RG 1
si si CS 0.99954
tengo tener VMIP1S0 1
prisa prisa NCFS000 1
puedo poder VMIP1S0 1
reducir reducir VMN0000 1
el el DA0MS0 1
tiempo tiempo NCMS000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
que que PR0CN000 0.562517
se se P00CN000 0.465639
haya haber VASP1S0 0.308235
programado programar VMP00SM 1
para para SPS00 0.999103
esa ese DD0FS0 0.983871
prenda prenda NCFS000 0.152174
. . Fp 1

6 6 Z 1
. . Fp 1

Los el DA0MP0 0.976481
programas programa NCMP000 0.97619
largos largo AQ0MP0 0.97619
( ( Fpa 1
algodón algodón NCMS000 1
) ) Fpt 1
varían variar VMIP3P0 1
en en SPS00 1
duración duración NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
118 118 Z 1
min minuto NCMN000 1
a a SPS00 0.996023
los el DA0MP0 0.976481
189 189 Z 1
min minuto NCMN000 1
. . Fp 1

7 7 Z 1
. . Fp 1

Es ser VSIP3S0 1
silenciosa silencioso AQ0FS0 1
, , Fc 1
bueno bueno AQ0MS0 0.451923
cuando cuando CS 0.985595
centrífuga centrífuga NCFS000 0.64273
se se P00CN000 0.465639
oye oír VMIP3S0 0.795001
pero pero CC 0.999764
he haber VMIP1S0 0.00309598
de de SPS00 0.999984
reconocer reconocer VMN0000 1
que que CS 0.437483
no no RN 0.998134
como como CS 0.999289
mi mi DP1CSS 0.999101
anterior anterior AQ0CS0 1
lavadora lavadora NCFS000 0.414738
. . Fp 1

8 8 Z 1
. . Fp 1

Y y CC 0.999962
por por SPS00 1
último último AO0MS0 1
, , Fc 1
que que CS 0.437483
como como CS 0.999289
ya ya RG 0.999395
me me PP1CS000 0.89124
ha haber VAIP3S0 0.999255
pasado pasar VMP00SM 0.650463
, , Fc 1
TIENE_UN_CONTROL_PARA_EL_DESBORDAMIENTO_DE_ESPUMA tiene_un_control_para_el_desbordamiento_de_espuma NP00000 1
, , Fc 1
ideal ideal AQ0CS0 0.5
para para SPS00 0.999103
mí mí PP1CSO00 1
que que CS 0.437483
en en SPS00 1
alguna alguno DI0FS0 0.903727
ocasión ocasión NCFS000 1
la lo PP3FSA00 0.0277039
he haber VAIP1S0 0.993808
montado montar VMP00SM 0.659582
......... ......... Fz 1
La la NP00000 1
recomiendo recomer VMG0000 0.946154
en en SPS00 1
todos todo DI0MP0 0.624221
los el DA0MP0 0.976481
sentidos sentido NCMP000 0.458233
, , Fc 1
y y CC 0.999962
no_sólo no_sólo CC 1
para para SPS00 0.999103
los el DA0MP0 0.976481
espacios espacio NCMP000 1
pequeños pequeño AQ0MP0 0.991071
y y CC 0.999962
además además RG 1
como como CS 0.999289
es ser VSIP3S0 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
superior superior AQ0CS0 0.992424
, , Fc 1
pues pues CS 0.998047
no no RN 0.998134
hay haber VMIP3S0 1
que que CS 0.437483
agachar agachar VMN0000 1
se se PP3CN000 1
y y CC 0.999962
ya ya RG 0.999395
voy ir VMIP1S0 1
siendo ser VSG0000 1
mayor mayor AQ0CS0 0.997925
. . Fp 1

Me me PP1CS000 0.89124
costó costar VMIS3S0 1
324 324 Z 1
  Fz 1
, , Fc 1
eso ese PD0NS000 1
sí sí RG 0.538663
, , Fc 1
algo algo PI0CS000 0.900246
más más RG 1
barato barato AQ0MS0 1
porque porque CS 1
aproveché aprovechar VMIS1S0 1
a a SPS00 0.996023
comprar comprar VMN0000 1
la lo PP3FSA00 1
en en SPS00 1
la el DA0FS0 0.972269
tienda tienda NCFS000 0.833009
de de SPS00 0.999984
electrodomésticos electrodoméstico NCMP000 0.432737
de de SPS00 0.999984
unos uno DI0MP0 0.883987
conocidos conocido NCMP000 0.261905
y y CC 0.999962
me me PP1CS000 0.89124
dieron dar VMIS3P0 1
una uno DI0FS0 0.951575
garantía garantía NCFS000 0.948767
de de SPS00 0.999984
7 7 Z 1
años año NCMP000 1
, , Fc 1
que que CS 0.437483
por por SPS00 1
lo el DA0NS0 0.457533
visto ver VMP00SM 0.996454
, , Fc 1
es ser VSIP3S0 1
, , Fc 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
normalmente normalmente RG 1
ofrecen ofrecer VMIP3P0 1
. . Fp 1

Espero esperar VMIP1S0 1
que que CS 0.437483
os os PP2CP000 0.773585
sea ser VSSP1S0 0.487293
útil útil AQ0CS0 0.657245
mi mi DP1CSS 0.999101
opinión opinión NCFS000 1
y y CC 0.999962
me me PP1CS000 0.89124
despido despedir VMIP1S0 0.325993
adjuntando adjuntar VMG0000 1
a a SPS00 0.996023
continuación continuación NCFS000 1
la el DA0FS0 0.972269
ficha ficha NCFS000 0.846918
técnica técnica NCFS000 0.471503
de de SPS00 1
el el DA0MS0 1
producto producto NCMS000 0.980769
. . Fp 1

Gracias gracia NCFP000 0.711763
por por SPS00 1
leer leer VMN0000 1
me me PP1CS000 1
. . Fp 1

FICHA_TECNICA_Fagor ficha_tecnica_fagor NP00000 1
FT-6412 FT-6412 Z 1
W_Indicador w_indicador NP00000 1
de de SPS00 0.999984
fases fase NCFP000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
Indicador indicador NP00000 1
de de SPS00 0.999984
tiempo tiempo NCMS000 1
restante restante AQ0CS0 0.357318
Velocidad velocidad NP00000 1
máxima máxima NCFS000 0.34273
de de SPS00 0.999984
centrifugado centrifugado NCMS000 0.308252
( ( Fpa 1
r.p.m. r.p.m. NCFN000 1
) ) Fpt 1
: : Fd 1
1200 1200 Z 1
Tecla tecla NP00000 1
y y CC 0.999962
/ / Fh 1
o o CC 0.999769
funciones función NCFP000 0.980769
: : Fd 1
Aclarado aclarado NP00000 0.196875
extra extra NCCS000 0.642702
Tecla tecla NP00000 1
y y CC 0.999962
/ / Fh 1
o o CC 0.999769
funciones función NCFP000 0.980769
: : Fd 1
Fácil fácil NP00000 0.288228
planchado planchar VMP00SM 0.637221
Tecla tecla NP00000 1
y y CC 0.999962
/ / Fh 1
o o CC 0.999769
funciones función NCFP000 0.980769
: : Fd 1
Regulación regulación NCFS000 0.711763
de de SPS00 0.999984
centrif centrif NCMS000 0.500257
. . Fp 1
y y CC 0.999962
antiarrugas antiarruga AQ0CP0 1
Corola_Open_System_Parada corola_open_system_parada NP00000 1
de de SPS00 0.999984
tambor tambor NCMS000 1
con con SPS00 1
accesibilidad accesibilidad NCFS000 1
( ( Fpa 1
Top-stop top-stop NP00000 1
) ) Fpt 1
Capacidad capacidad NP00000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
( ( Fpa 1
kg kilogramo NCMN000 1
. . Fp 1
) ) Fpt 1
: : Fd 1
6 6 Z 1
Selector selector NP00000 1
velocidades velocidad NCFP000 1
de de SPS00 0.999984
centrifugado centrifugado NCMS000 0.308252
Exclusión exclusión NP00000 1
centrifugado centrifugar VMP00SM 0.691748
Programación programación NP00000 1
diferida diferir VMP00SF 1
( ( Fpa 1
h h NCFS000 0.5
) ) Fpt 1
: : Fd 1
24 24 Z 1
Programas programas NP00000 1
: : Fd 1
Rápidos rápido AQ0MP0 0.4432
: : Fd 1
30 30 Z 1
min minuto NCMN000 1
. . Fp 1

PRESTACIONES_GENERALES_Velocidad prestaciones_generales_velocidad NP00000 1
máxima máxima NCFS000 0.34273
de de SPS00 0.999984
centrifugado centrifugado NCMS000 0.308252
( ( Fpa 1
r.p.m. r.p.m. NCFN000 1
) ) Fpt 1
1.200 1200 Z 1
Capacidad capacidad NP00000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
( ( Fpa 1
kg kilogramo NCMN000 1
. . Fp 1
) ) Fpt 1
6 6 Z 1
Número número NP00000 1
de de SPS00 0.999984
tomas toma NCFP000 0.973494
para para SPS00 0.999103
productos producto NCMP000 0.64273
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
4 4 Z 1
PROGRAMACIÓN_Programas programación_programas NP00000 1
: : Fd 1
Rápidos rápidos NP00000 0.184242
30 30 Z 1
min minuto NCMN000 1
. . Fp 1

Número número NCMS000 0.711763
total total AQ0CS0 0.987805
de de SPS00 0.999984
programas programa NCMP000 0.97619
Multi_CONTROL_DE_FUNCIONAMIENTO_Programación multi_control_de_funcionamiento_programación NP00000 1
diferida diferir VMP00SF 1
( ( Fpa 1
h h NCFS000 0.5
) ) Fpt 1
24 24 Z 1
ETIQUETA_ENERGÉTICA_Clase etiqueta_energética_clase NP00000 1
energética energética NCFS000 0.517679
A+++_Eficacia a+++_eficacia NP00000 1
de de SPS00 0.999984
centrifugado centrifugado NCMS000 0.308252
B_Consumo b_consumo NP00000 1
anual anual AQ0CS0 1
de de SPS00 0.999984
energía energía NCFS000 1
en en SPS00 1
lavado lavado NCMS000 0.308275
( ( Fpa 1
kWh kwh I 0.571264
) ) Fpt 1
* * Fz 1
153 153 Z 1
Consumo consumo NP00000 1
anual anual AQ0CS0 1
de de SPS00 0.999984
agua agua NCCS000 0.99177
en en SPS00 1
lavado lavado NCMS000 0.308275
( ( Fpa 1
l l NCFS000 0.639397
) ) Fpt 1
* * Fz 1
7.330 7330 Z 1
Potencia potencia NP00000 1
acústica acústica NCFS000 0.413353
en en SPS00 1
lavado lavar VMP00SM 0.691725
dB db NCMS000 0.63631
( ( Fpa 1
A a NCFS000 0.00397693
) ) Fpt 1
59 59 Z 1
Potencia potencia NP00000 1
acústica acústica NCFS000 0.413353
en en SPS00 1
centrifugado centrifugar VMP00SM 0.691748
dB db NCMS000 0.63631
( ( Fpa 1
A a NCFS000 0.00397693
) ) Fpt 1
77 77 Z 1
Humedad humedad NP00000 1
residual residual AQ0CS0 1
( ( Fpa 1
% % Ft 1
) ) Fpt 1
53 53 Z 1
Potencia potencia NP00000 1
total total AQ0CS0 0.987805
( ( Fpa 1
W w NP00000 0.411768
) ) Fpt 1
2.250 2250 Z 1
Tensión tensión NP00000 1
( ( Fpa 1
V v NP00000 0.411768
) ) Fpt 1
220-240 220-240 Z 1
Frecuencia frecuencia NP00000 1
( ( Fpa 1
Hz hz NP00000 1
) ) Fpt 1
50 50 Z 1
Intensidad intensidad NP00000 1
( ( Fpa 1
A a NCFS000 0.00397693
) ) Fpt 1
10 10 Z 1
DATOS_TÉCNICOS_Consumo datos_técnicos_consumo NP00000 1
energía energía NCFS000 1
algodón algodón NCMS000 1
60ºC 60ºC Z 1
Carga_Completa carga_completa NP00000 1
( ( Fpa 1
kWh kwh I 0.571264
) ) Fpt 1
0,81 0.81 Z 1
Consumo consumo NP00000 1
energía energía NCFS000 1
algodón algodón NCMS000 1
60ºC 60ºC Z 1
Media_Carga media_carga NP00000 1
( ( Fpa 1
kWh kwh I 0.571264
) ) Fpt 1
0,53 0.53 Z 1
Consumo consumo NP00000 1
energía energía NCFS000 1
algodón algodón NCMS000 1
40ºC 40ºC Z 1
Media_Carga media_carga NP00000 1
( ( Fpa 1
kWh kwh I 0.571264
) ) Fpt 1
0,43 0.43 Z 1
Consumo_Apagado consumo_apagado NP00000 1
( ( Fpa 1
Off-Mode off-mode NP00000 1
) ) Fpt 1
( ( Fpa 1
