Hoy hoy RG 0.881453
potencia potencia NCFS000 0.972603
. . Fp 1

CONSUMO consumo NP00000 0.393427
. . Fp 1

= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
Un uno DI0MS0 0.987295
factor factor NCMS000 1
importante importante AQ0CS0 1
es ser VSIP3S0 1
que que CS 0.437483
a a SPS00 1
el el DA0MS0 1
tratar tratar VMN0000 1
se se PP3CN000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
electrodoméstico electrodoméstico NCMS000 0.499791
de de SPS00 0.999984
clase clase NCFS000 1
A a NP00000 1
es ser VSIP3S0 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
de de SPS00 0.999984
bajo bajo SPS00 0.879562
consumo consumo NCMS000 0.948927
energético energético AQ0MS0 1
y y CC 0.999962
de de SPS00 0.999984
bajo bajo SPS00 0.879562
consumo consumo NCMS000 0.948927
de de SPS00 0.999984
agua agua NCCS000 0.99177
lo el DA0NS0 0.457533
cual cual PR0CS000 0.913223
hace hacer VMIP3S0 1
que que CS 0.437483
sea ser VSSP1S0 0.487293
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
ecológica ecológico AQ0FS0 1
y y CC 0.999962
cuyos cuyo PR0MP000 1
costes coste NCMP000 1
operativos operativo AQ0MP0 0.50727
sean ser VSSP3P0 0.991071
bastante bastante RG 0.776824
asequibles asequible AQ0CP0 1
. . Fp 1

El el DA0MS0 1
agua agua NCCS000 0.99177
que que PR0CN000 0.562517
consume consumir VMIP3S0 0.878846
( ( Fpa 1
alrededor_de alrededor_de SPS00 1
39 39 Z 1
litros litro NCMP000 1
) ) Fpt 1
es ser VSIP3S0 1
bastante bastante RG 0.776824
baja bajo AQ0FS0 0.959459
y y CC 0.999962
la el DA0FS0 0.972269
energía energía NCFS000 1
requerida requerir VMP00SF 1
para para SPS00 0.999103
un uno DI0MS0 0.987295
lavado lavado NCMS000 0.308275
es ser VSIP3S0 1
muy muy RG 1
razonable razonable AQ0CS0 1
( ( Fpa 1
0,85 0.85 Z 1
kWh kwh NCMS000 0.21451
) ) Fpt 1
. . Fp 1

RELACIÓN_CALIDAD-PRECIO relación_calidad-precio NP00000 1
. . Fp 1

= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
En en NP00000 1
este este DD0MS0 0.960092
caso caso NCMS000 0.99812
es ser VSIP3S0 1
para para SPS00 0.999103
mi mi DP1CSS 0.999101
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
factores factor NCMP000 1
más más RG 1
importantes importante AQ0CP0 1
más más RG 1
importantes importante AQ0CP0 1
que que PR0CN000 0.562517
hay haber VMIP3S0 1
que que CS 0.437483
tener_en_cuenta tener_en_cuenta VMN0000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
comprar comprar VMN0000 1
o o CC 0.999769
no no RN 0.998134
un uno DI0MS0 0.987295
producto producto NCMS000 0.980769
. . Fp 1
después_de después_de SPS00 1
más más RG 1
de de SPS00 0.999984
dos 2 Z 0.991679
años año NCMP000 1
de de SPS00 0.999984
uso uso NCMS000 0.98913
creo crear VMIP1S0 0.5
que que CS 0.437483
la el DA0FS0 0.972269
relación relación NCFS000 1
entre entre SPS00 0.998082
calidad calidad NCFS000 1
y y CC 0.999962
precio precio NCMS000 0.97619
es ser VSIP3S0 1
excelente excelente AQ0CS0 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
la lo PP3FSA00 0.0277039
convierte convertir VMIP3S0 0.991803
en en SPS00 1
una uno DI0FS0 0.951575
excelente excelente AQ0CS0 1
compra compra NCFS000 0.561644
. . Fp 1

